,title,contents,period,location,page_url
71,조치원복숭아축제,115년 조치원 복숭아! 신선한 여름놀이!,2023.08.04 ~ 2023.08.06,"세종특별자치시 조치원읍 신흥리 365, 세종시민운동장, 도도리파크, 중심가로",https://korean.visitkorea.or.kr/kfes/detail/fstvlDetail.do?fstvlCntntsId=9be93722-b4ee-4059-b688-0ae9e2527083
72,통영한산대첩축제,세계 4대해전인 한산대첩의 현장에서 충무공의 구국정신을 기리고 승전을 기념하는 축제,2023.08.04 ~ 2023.08.12,경상남도 통영시 중앙로 65 통영시립박물관  ,https://korean.visitkorea.or.kr/kfes/detail/fstvlDetail.do?fstvlCntntsId=e0472596-c5c1-4360-af80-bcb9f22630ce
73,하동섬진강문화재첩축제,하동의 특산물인 재첩을 테마로 한 여름 대표 문화관광축제,2023.08.04 ~ 2023.08.06,경상남도 하동군 하동읍 섬진강대로 2107-8 ,https://korean.visitkorea.or.kr/kfes/detail/fstvlDetail.do?fstvlCntntsId=eade2fce-c923-477c-a808-51606b6fde85
74,한강페스티벌,여름 한강이 줄 수 있는 모든 것!	,2023.08.04 ~ 2023.08.20,서울특별시 영등포구 여의동로 330 한강사업본부 여의도안내센터  한강 수상 및 8개 한강공원 일대 ,https://korean.visitkorea.or.kr/kfes/detail/fstvlDetail.do?fstvlCntntsId=ddee73b5-d818-4d73-b06e-8d5294df701b
75,좀비런 부산,,2023.08.05 ~ 2023.08.05,부산광역시 해운대구 수영강변대로 120 영화의전당  ,https://korean.visitkorea.or.kr/kfes/detail/fstvlDetail.do?fstvlCntntsId=99570bcf-0d63-412c-b78d-83846e4f51b6
76,제주국제관악제,,2023.08.07 ~ 2023.08.16,제주특별자치도 제주시 동광로 90 (이도이동),https://korean.visitkorea.or.kr/kfes/detail/fstvlDetail.do?fstvlCntntsId=a3c0701b-dd06-4c95-9a5b-06964f52945b
77,서울프린지페스티벌,"예술가의 자유로운 시도와 그들의 주체성을 지지하는 독립예술축제, 서울프린지페스티벌",2023.08.08 ~ 2023.08.27,"서울특별시 서대문구 연희맛로 2-3   B1 연희예술극장, 서울 마포구 및 서대문구 일대 실내외 공간",https://korean.visitkorea.or.kr/kfes/detail/fstvlDetail.do?fstvlCntntsId=4f3f89d7-34c7-4f5b-8ede-d1f8ee106bad
78,춘천공연예술제,십시일반 마음을 모아 만드는 순수 공연예술 축제,2023.08.08 ~ 2023.08.12,강원특별자치도 춘천시 춘천로 112 축제극장몸짓  ,https://korean.visitkorea.or.kr/kfes/detail/fstvlDetail.do?fstvlCntntsId=5f24fedd-ea36-4d9c-b636-357c58363826
79,Beer Fest Gwangju,,2023.08.09 ~ 2023.08.12,광주광역시 서구 상무누리로 30 (치평동),https://korean.visitkorea.or.kr/kfes/detail/fstvlDetail.do?fstvlCntntsId=91a8835a-2a5b-4033-99af-c4551ba2493a
80,군산문화재야행,군산 근대역사지구에 방문하는 모든 방문&관광객들이 함께 즐기는 여름밤 문화재 향유 행사,2023.08.10 ~ 2023.08.12,전라북도 군산시 구영2길 9 군산 내항 및 원도심 일원 ,https://korean.visitkorea.or.kr/kfes/detail/fstvlDetail.do?fstvlCntntsId=9c61604a-7abf-4397-a916-8b6d64a70447
81,부안문화재야행,행복을 꿈꾸는 당산길	,2023.08.10 ~ 2023.08.12,전라북도 부안군 당산로 91 부안군청  ,https://korean.visitkorea.or.kr/kfes/detail/fstvlDetail.do?fstvlCntntsId=4a26d8a4-1577-4b87-84ca-7bb44c1945da
82,사천시 삼천포항 자연산 전어축제,"한여름 전어의 유혹! 잡수시고, 노시고, 주무시고 가이소! ",2023.08.10 ~ 2023.08.13,경상남도 사천시 팔포1길 65 팔포유료주차장사무실  ,https://korean.visitkorea.or.kr/kfes/detail/fstvlDetail.do?fstvlCntntsId=f981ad89-bd88-4047-9639-8d887475f4cd
83,누들대전 페스티벌,,2023.08.11 ~ 2023.08.13,대전광역시 동구 수향길 25   ,https://korean.visitkorea.or.kr/kfes/detail/fstvlDetail.do?fstvlCntntsId=a8033994-bf08-4795-8ffb-a3bf947547c8
84,대전 0시 축제,,2023.08.11 ~ 2023.08.17,대전광역시 중구 중앙로 148   대전 중구 중앙로 일원(대전역~옛 충남도청),https://korean.visitkorea.or.kr/kfes/detail/fstvlDetail.do?fstvlCntntsId=97661435-49f6-4761-a07c-723490310b1c
85,대전역마을 도시재생 거리문화축제,<대전 0시 축제>와 함께하는 웰빙·레트로·한방 축제!,2023.08.11 ~ 2023.08.17,대전광역시 동구 태전로 1   대전역마을 도시재생 활성화지역  ,https://korean.visitkorea.or.kr/kfes/detail/fstvlDetail.do?fstvlCntntsId=1bef95c3-988e-475b-ab45-3620934404df
86,수원 문화재 야행,"기억의 문이 열리는, 2023 수원 문화재 야행(夜行)	",2023.08.11 ~ 2023.08.13,경기도 수원시 팔달구 정조로 825 화성행궁 일원 ,https://korean.visitkorea.or.kr/kfes/detail/fstvlDetail.do?fstvlCntntsId=61868dbd-e352-418c-a6f3-9cd0684c5cf7
87,전국해양스포츠제전,해양도시 포항시에서 개최하는 시민참여형 해양 레저 스포츠 체험 행사,2023.08.11 ~ 2023.08.14,"경상북도 포항시 북구 해안로 147   포항영일대해수욕장, 포항송도해수욕장",https://korean.visitkorea.or.kr/kfes/detail/fstvlDetail.do?fstvlCntntsId=7e855ef8-1338-4900-a324-f3d9dc8cda21
88,진주문화재야행,국난극복! 진주목사의 귀환,2023.08.11 ~ 2023.08.13,경상남도 진주시 남강로 626 진주성  진주성 ,https://korean.visitkorea.or.kr/kfes/detail/fstvlDetail.do?fstvlCntntsId=7257f595-b58e-40d3-920d-c8f3b293be21
89,천안문화도시 페스타,"눈부신 천안, 당신의 찬란한 순간, 블릴리언트 천안!",2023.08.11 ~ 2023.08.15,충청남도 천안시 동남구 독립기념관로 1 독립기념관  ,https://korean.visitkorea.or.kr/kfes/detail/fstvlDetail.do?fstvlCntntsId=3d7fa219-c296-4019-b7a8-6c990d1da030
90,한여름 단양 수상 페스티벌,"떠오르는 수상관광의 메카, 단양!",2023.08.11 ~ 2023.08.13,충청북도 단양군 단양읍 상진리 132-4 단양읍 상진 계류장,https://korean.visitkorea.or.kr/kfes/detail/fstvlDetail.do?fstvlCntntsId=f2fd7056-cff4-43e3-87d0-a05a15c9f0fa
91,둔내고랭지토마토축제,최고의 토마토와 함께하는 여름 가족 축제,2023.08.12 ~ 2023.08.14,강원특별자치도 횡성군 경강로 4708   ,https://korean.visitkorea.or.kr/kfes/detail/fstvlDetail.do?fstvlCntntsId=467257b1-6626-4996-9149-378fb7321f29
92,물총축제,I AM ALIVE! 무더위를 날려줄 진짜 물총축제가 4년만에 돌아왔다,2023.08.12 ~ 2023.08.13,서울특별시 마포구 증산로 87   문화비축기지,https://korean.visitkorea.or.kr/kfes/detail/fstvlDetail.do?fstvlCntntsId=83938788-563e-4444-8af4-96b99bdc5670
93,밀양문화재야행,,2023.08.12 ~ 2023.08.14,경상남도 밀양시 중앙로 324 영남루 일원,https://korean.visitkorea.or.kr/kfes/detail/fstvlDetail.do?fstvlCntntsId=e9c96d86-989e-437c-bb57-0759c8563ae2
94,산골공연 예술잔치,"여름 밤, 산골무대에서 펼쳐지는 공연예술축제",2023.08.12 ~ 2023.08.13,충청북도 영동군 횡지구백길 5 자계예술촌  ,https://korean.visitkorea.or.kr/kfes/detail/fstvlDetail.do?fstvlCntntsId=3ad113a0-024d-4aeb-868f-91173f990511
95,서대문독립축제,"광복의 기쁨을 나누고 독립과 자유, 평화의 가치를 미래세대와 함께 나누는 시민역사문화축제",2023.08.12 ~ 2023.08.15,서울특별시 서대문구 연희로 248 (연희동),https://korean.visitkorea.or.kr/kfes/detail/fstvlDetail.do?fstvlCntntsId=9e1d5d29-6cae-41ec-8784-db7b75877c06
96,워터버블페스티벌,올여름 물총어때?,2023.08.12 ~ 2023.08.12,울산광역시 중구 성남동 219-16 젊음의 거리 아케이드 일원,https://korean.visitkorea.or.kr/kfes/detail/fstvlDetail.do?fstvlCntntsId=9677f6a8-8149-4a1c-99ed-f5a0df121df4
97,대한민국 청년미술축제 ; 아트그라운드,"모두를 위한 열정, 재미, 영감이 어우러지는 트렌디한 청년 미술 축제!",2023.08.17 ~ 2023.08.20,서울특별시 종로구 관훈동 마루아트센터 특별관 ,https://korean.visitkorea.or.kr/kfes/detail/fstvlDetail.do?fstvlCntntsId=8ba2b4e9-cbb3-4eae-a3f9-f3cc5205347c
98,대구 문화재 야행,,2023.08.18 ~ 2023.08.19,대구광역시 중구 경상감영길 99 감영공원  ,https://korean.visitkorea.or.kr/kfes/detail/fstvlDetail.do?fstvlCntntsId=8b644768-b1e4-4071-a78f-9770ac19829d
99,부산수제맥주마스터스챌린지,수제 맥주 산업이 부산을 대표하는 전략 산업으로 자리매김할 수 있도록 하는 시민 참여형 ,2023.08.18 ~ 2023.08.20,부산광역시 해운대구 수영강변대로 120 영화의전당  ,https://korean.visitkorea.or.kr/kfes/detail/fstvlDetail.do?fstvlCntntsId=9368f6c0-eea2-4f94-aaa1-638085ff2161
100,피란수도 부산 문화재 야행 '1023일을 걷는 시간',"금순이·금동이와 함께하는 한여름 밤, 1023일을 걷는 시간!",2023.08.18 ~ 2023.08.19,부산광역시 중구 대청로 104 부산근현대역사관 별관  ,https://korean.visitkorea.or.kr/kfes/detail/fstvlDetail.do?fstvlCntntsId=a50f6668-892d-4997-97fd-6ec7be5b04af
101,오감만족 문경새재맨발페스티벌,최고의 힐링여행~ 맨발로 즐겨요!,2023.08.19 ~ 2023.08.19,경상북도 문경시 문경읍 새재로 932 ,https://korean.visitkorea.or.kr/kfes/detail/fstvlDetail.do?fstvlCntntsId=cda7e731-7f5c-4868-af35-9c9322aa17db
102,푸드앤비어 페스티벌,"시민, 지역상권과 함께 즐기는 고양시의 주민중심형, 지역상권연계형 종합 축제",2023.08.19 ~ 2023.08.27,경기도 고양시 일산동구 백석동 강송로 33 일산벨라시타,https://korean.visitkorea.or.kr/kfes/detail/fstvlDetail.do?fstvlCntntsId=19cc361a-c05f-4763-bdde-4158eba088e2
103,영동포도축제,,2023.08.24 ~ 2023.08.27,충청북도 영동군 영동힐링로 117   ,https://korean.visitkorea.or.kr/kfes/detail/fstvlDetail.do?fstvlCntntsId=ef1fa412-0332-45ad-b06e-9d39d70f1fec
104,부산국제코미디페스티벌,,2023.08.25 ~ 2023.09.03,부산광역시 해운대구 수영강변대로 120 영화의전당  ,https://korean.visitkorea.or.kr/kfes/detail/fstvlDetail.do?fstvlCntntsId=00a303d7-0d15-4323-9315-912eba7727dc
105,안양공공예술프로젝트,,2023.08.25 ~ 2023.11.02,경기도 안양시 만안구 안양동 ,https://korean.visitkorea.or.kr/kfes/detail/fstvlDetail.do?fstvlCntntsId=67584c27-a881-451a-9947-fa08e54b1b72
106,안양공공예술프로젝트,,2023.08.25 ~ 2023.11.02,경기도 안양시 만안구 안양동 ,https://korean.visitkorea.or.kr/kfes/detail/fstvlDetail.do?fstvlCntntsId=67584c27-a881-451a-9947-fa08e54b1b72
107,울산조선해양축제 ,세계적인 조선해양관광도시인 울산 동구의 우수함을 알리는 울산조선해양축제,2023.08.25 ~ 2023.08.26,울산광역시 동구 해수욕장10길  동구 일산해수욕장 ,https://korean.visitkorea.or.kr/kfes/detail/fstvlDetail.do?fstvlCntntsId=abfe6e2e-06b0-4beb-a6ff-1708f242c84d
108,청주문화재야행,"주성야독(舟城夜讀), 달빛 아래 청주를 읽다.",2023.08.25 ~ 2023.08.27,"충청북도 청주시 상당구 남사로 117   청주 중앙공원, 용두사지철당간, 청주시청 임시청사(청녕각), 성안길, 남주·남문로 한복문화의 거리",https://korean.visitkorea.or.kr/kfes/detail/fstvlDetail.do?fstvlCntntsId=4f331589-71f3-4794-bd67-cd64ac8ed499
109,시흥시민축구단 워터 페스티벌,트로트 가수 진성과 함께 하는 시흥시민축구단 물놀이 행사	,2023.08.26 ~ 2023.08.26,경기도 시흥시 역전로 2 시흥시 육상경기장  ,https://korean.visitkorea.or.kr/kfes/detail/fstvlDetail.do?fstvlCntntsId=f0e05f06-7c4e-4dbf-ab26-f4587a5a9112
110,인천개항장 문화재 야행,"오래된 것과 다시 만난 ""2023 인천 개항장 문화재 야행""",2023.08.26 ~ 2023.10.22,인천광역시 중구 신포로27번길 80 중구청  인천 개항장 문화지구 일원,https://korean.visitkorea.or.kr/kfes/detail/fstvlDetail.do?fstvlCntntsId=387cfe24-b54f-464d-a06d-c1599d7eba59
